SPDES Permit Number,Facility Name,Ground or Surface,Average Design Hydraulic Flow,Street,City,State,Country,Zip Code,Latitude,Longitude,Location 1
NY0034983,ROCKLAND ROSCOE STP,Surface,0.20,OLD RT 17 - S OF COUNTY LINE,ROSCOE,NY,USA,12776,41.94,-74.92,"OLD RT 17 - S OF COUNTY LINE
ROSCOE, NY 12776
(41.94, -74.92)"
NY0234117,ROLLING HILLS SEWER DISTRICT STP,Surface,,RIDGEBURY RD,WAWAYANDA,NY,USA,,41.38,-74.41,"RIDGEBURY RD
WAWAYANDA, NY
(41.38, -74.41)"
NY0060976,ROMBOUT STP,Surface,0.75,75 INDUSTRIAL WAY,FISHKILL,NY,USA,12524,41.52,-73.98,"75 INDUSTRIAL WAY
FISHKILL, NY 12524
(41.52, -73.98)"
NY0030864,ROME MUNICIPAL SEWAGE TREATMENT PLANT,Surface,12.00,7180 E DOMINICK ST,ROME,NY,USA,13440,43.20,-75.41,"7180 E DOMINICK ST
ROME, NY 13440
(43.20, -75.41)"
NY0109061,ROSENDALE WWT FACILITY,Surface,0.10,136 CREEK LOCKS RD,ROSENDALE,NY,USA,12472,41.84,-74.07,"136 CREEK LOCKS RD
ROSENDALE, NY 12472
(41.84, -74.07)"
NY0020141,ROTTERDAM SEWER DIST #2,Surface,1.50,26 W CAMPBELL AVE,SCHENECTADY,NY,USA,12306,42.80,-73.98,"26 W CAMPBELL AVE
SCHENECTADY, NY 12306
(42.80, -73.98)"
NY0021831,ROUSES POINT WWTP,Surface,2.00,LILY AVE,ROUSES POINT,NY,USA,12979,44.99,-73.36,"LILY AVE
ROUSES POINT, NY 12979
(44.99, -73.36)"
NY0247561,RUSHMORE/BRIGADOON WWTP,Surface,0.09,105 CASTLETON DR,WOODBURY,NY,USA,11797,41.36,-74.12,"105 CASTLETON DR
WOODBURY, NY 11797
(41.36, -74.12)"
NY0161071,RUSHVILLE - V STP,Surface,0.08,WAREHOUSE ST,RUSHVILLE,NY,USA,14544,42.76,-77.23,"WAREHOUSE ST
RUSHVILLE, NY 14544
(42.76, -77.23)"
NY0027014,SACKETS HARBOR STP,Surface,0.60,HILL ST,SACKETS HARBOR,NY,USA,13685,43.94,-76.12,"HILL ST
SACKETS HARBOR, NY 13685
(43.94, -76.12)"
NY0028908,SAG HARBOR STP,Surface,0.25,BAY ST,SAG HARBOR,NY,USA,11963,41.00,-72.29,"BAY ST
SAG HARBOR, NY 11963
(41.00, -72.29)"
NY0020508,SALAMANCA STP,Surface,2.00,299 CENTER ST,SALAMANCA,NY,USA,14779,42.16,-78.74,"299 CENTER ST
SALAMANCA, NY 14779
(42.16, -78.74)"
NY0110795,SANFORD - T OQUAGA LAKE STP,Surface,0.05,OQUAGA LAKE,SANFORD,NY,USA,,42.01,-75.45,"OQUAGA LAKE
SANFORD, NY
(42.01, -75.45)"
NY0021733,SARANAC LAKE STP,Surface,2.62,BLOOMINGDALE AVE,SARANAC LAKE,NY,USA,12983,44.34,-74.11,"BLOOMINGDALE AVE
SARANAC LAKE, NY 12983
(44.34, -74.11)"
NY0028240,SARATOGA CO SEWER DIST #1,Surface,43.40,1002 HUDSON RIVER RD,MECHANICVILLE,NY,USA,12118,42.88,-73.68,"1002 HUDSON RIVER RD
MECHANICVILLE, NY 12118
(42.88, -73.68)"
NY0145556,SAUGERTIES MALDEN-ON-HUDSON S D STP,Surface,0.10,RIVERSIDE DR - N END,SAUGERTIES,NY,USA,12477,42.09,-73.93,"RIVERSIDE DR - N END
SAUGERTIES, NY 12477
(42.09, -73.93)"
NY0031208,SAUGERTIES (V) DOCK STREET STP,Surface,1.36,DOCK ST,SAUGERTIES,NY,USA,12477,42.07,-73.94,"DOCK ST
SAUGERTIES, NY 12477
(42.07, -73.94)"
NY0162663,SAVANNAH-T WWTP COMBINED SEWER DISTRICT,Surface,0.05,1564 N MAIN ST,SAVANNH,NY,USA,,43.06,-76.75,"1564 N MAIN ST
SAVANNH, NY
(43.06, -76.75)"
NY0199079,SCAVENGER WASTE TREATMENT PLANT,Ground,0.05,262 SPRINGS-FIREPLACE RD|SCTM# 300-145-2-13.1,EAST HAMPTON,NY,USA,11937,40.99,-72.17,"262 SPRINGS-FIREPLACE RD|SCTM# 300-145-2-13.1
EAST HAMPTON, NY 11937
(40.99, -72.17)"
NY0020516,SCHENECTADY - C STP,Surface,18.50,300 ANTHONY ST,SCHENECTADY,NY,USA,12305,42.84,-73.91,"300 ANTHONY ST
SCHENECTADY, NY 12305
(42.84, -73.91)"
NY0268852,SCHODACK LANDING SEWERS,Surface,0.02,RAIL LN,SCHODACK LANDING,NY,USA,12156,42.47,-73.77,"RAIL LN
SCHODACK LANDING, NY 12156
(42.47, -73.77)"
NY0023655,SCHOHARIE - V STP,Surface,0.33,DEPOT LN,SCHOHARIE,NY,USA,12157,42.67,-74.31,"DEPOT LN
SCHOHARIE, NY 12157
(42.67, -74.31)"
NY0020231,SCHROON LAKE WWTP,Surface,0.35,49 FOWLER AVE,SCHROON LAKE,NY,USA,12870,43.84,-73.75,"49 FOWLER AVE
SCHROON LAKE, NY 12870
(43.84, -73.75)"
NY0031941,SCHUYLERVILLE STP,Surface,0.26,SPRING ST,SCHUYLERVILLE,NY,USA,12871,43.09,-73.58,"SPRING ST
SCHUYLERVILLE, NY 12871
(43.09, -73.58)"
NY0020133,SCOTTSVILLE - V STP,Surface,0.65,4620 RIVER RD,SCOTTSVILLE,NY,USA,14546,43.01,-77.74,"4620 RIVER RD
SCOTTSVILLE, NY 14546
(43.01, -77.74)"
